zip,lat,long
80002,39.7907566,-105.0849687
80908,39.0272007,-104.6821048
80751,40.6391761,-103.2201828
80487,40.5989331,-106.8178377
81623,39.2165648,-107.2429976
80305,39.9799992,-105.248737
80534,40.3379993,-104.9272044
81521,39.1444759,-108.8313832
80903,38.8413423,-104.8162784
80905,38.8163486,-104.8512993
80465,39.5979553,-105.2077798
80030,39.8300502,-105.0352855
80701,40.0466571,-103.8216261
81503,39.0303696,-108.4869555
81601,39.6044937,-107.3375791
80202,39.7541032,-105.0002242
81101,37.4526296,-105.8290298
81321,37.3437874,-108.7600963
81003,38.2897949,-104.6296338
81416,38.7450038,-108.1903059
81520,39.1790406,-108.439474
80603,39.9877992,-104.6937674
81650,39.8864774,-108.3326648
80007,39.8514427,-105.1960795
80216,39.7845048,-104.9797753
80107,39.3415844,-104.6121475
80246,39.6999073,-104.9330448
80018,39.7057771,-104.6937674
80863,39.0540773,-105.1025075
80640,39.8788323,-104.8746508
80513,40.3048178,-105.1025075
80621,40.1247268,-104.798771
81625,40.7685941,-107.763621
81147,37.1604318,-107.0067031
80925,38.7555467,-104.6471221
81506,39.159591,-108.5581899
80549,40.82795,-105.0557415
81006,38.2292616,-104.4956239
81008,38.5003101,-104.6354631
81082,37.1583021,-104.5655273
81611,39.1116318,-106.8650395
81620,39.595736,-106.5230542
80125,39.5069625,-105.0557415
81505,39.2240584,-108.5938124
80517,40.4111363,-105.6412527
80424,39.476845,-106.0169971
81230,38.5084518,-106.8178377
80421,39.3929961,-105.4536718
80230,39.7182499,-104.8892473
81201,38.5560641,-106.2051484
81050,37.9143802,-103.4974258
81632,39.6471106,-106.6527099
81226,38.3286311,-105.0089888
81052,37.924499,-102.6675575
81631,39.666374,-106.7942405
80235,39.6467079,-105.0878917
81122,37.3732948,-107.5268471
80433,39.5099753,-105.336536
81637,39.661809,-106.9594723
80615,40.5255836,-104.6354631
81211,38.964013,-106.2051484
81303,37.1246126,-107.9294815
80498,39.8389645,-106.2992912
80435,39.6007426,-105.8525154
80461,39.2750853,-106.2992912
80543,40.3471931,-104.8571368
80310,40.02,-105.27
81647,39.4950583,-107.5268471
80723,40.1951544,-103.5899733
81144,37.5799518,-106.1110501
81635,39.4856281,-108.0954351
80840,38.994425,-104.8571368
80118,39.2007693,-104.9155243
80816,38.8660186,-105.2897042
80829,38.798332,-104.9505671
81137,37.0952788,-107.71625
80808,38.969277,-104.332644
80106,39.1788655,-104.6121475
81657,39.6648024,-106.3934777
80102,39.8509678,-104.4257533
81425,38.4200117,-108.1903059
81621,39.4206134,-106.9594723
81067,37.9649275,-103.7752634
80514,40.0747868,-104.9505671
80136,39.8051217,-104.3093759
80642,40.0455381,-104.6354631
81526,39.0694158,-108.308934
81413,38.9522211,-107.9057813
81435,37.9577203,-107.8820831
